날짜/품목,김밥,참치 김밥,돈까스 김밥,치즈 김밥,떡볶이,순대,오뎅,제육 덮밥,카레라이스,돈까스
3월 27일,23,7,19,23,23,34,9,19,21,45
3월 28일,42,17,32,12,39,19,14,22,14,9
3월 29일,8,15,24,43,41,23,33,12,34,24
3월 30일,30,22,37,39,36,33,10,43,7,32
3월 31일,25,43,21,6,10,19,41,42,6,22
4월 1일,41,7,16,35,38,33,22,16,42,32
4월 2일,45,36,10,35,27,31,26,25,11,15
4월 3일,26,31,36,23,30,40,7,34,10,25
4월 4일,21,25,12,30,37,5,39,34,31,8
4월 5일,17,38,28,44,36,45,33,8,18,22
4월 6일,40,13,23,33,36,12,6,45,43,20
4월 7일,15,24,40,5,40,31,10,19,12,34
4월 8일,12,14,36,23,37,22,31,35,35,20
4월 9일,34,40,14,29,17,43,37,13,9,22
4월 10일,31,26,37,22,5,23,24,42,42,36
4월 11일,14,33,39,35,27,26,40,39,29,34
4월 12일,25,17,20,41,29,19,31,7,25,35
4월 13일,29,29,14,36,7,13,37,42,26,11
4월 14일,33,11,38,34,5,14,31,14,9,35
4월 15일,21,26,44,30,10,26,39,29,25,45
4월 16일,36,39,7,44,9,20,45,23,19,10
4월 17일,32,11,45,11,33,15,24,6,7,25
4월 18일,8,23,27,28,32,14,20,38,31,41
4월 19일,16,15,16,10,44,29,44,20,36,42
4월 20일,14,19,34,45,21,34,21,5,34,23
4월 21일,39,15,9,33,27,42,24,45,32,21
4월 22일,34,24,17,29,35,11,20,29,41,27
4월 23일,41,23,23,6,30,22,5,41,8,43
4월 24일,36,23,19,43,27,19,45,17,44,21
4월 25일,13,45,11,45,7,24,33,7,42,28
4월 26일,13,10,23,25,31,16,17,13,39,28
4월 27일,38,37,22,15,21,35,23,26,12,34
4월 28일,9,14,19,30,40,28,10,30,5,21
4월 29일,39,12,34,28,21,42,29,45,28,11
4월 30일,19,35,6,44,40,25,44,19,9,45
4월 31일,34,24,31,12,13,7,7,24,36,12
5월 1일,11,20,39,13,29,34,28,39,31,42
5월 2일,14,31,11,36,44,31,22,7,28,18
5월 3일,33,33,20,28,11,28,39,27,8,30
5월 4일,22,17,12,34,10,18,45,43,6,8
5월 5일,26,20,13,41,18,9,40,18,42,18
5월 6일,19,26,14,43,5,22,14,13,39,21
5월 7일,16,12,6,13,5,27,20,42,25,6
5월 8일,16,21,8,13,31,38,12,9,35,33
5월 9일,28,37,42,11,33,37,19,44,7,38
5월 10일,24,34,6,8,35,30,32,11,36,33
5월 11일,9,10,25,43,14,9,13,22,44,45
5월 12일,42,40,25,29,43,38,23,34,37,43
5월 13일,32,11,12,40,18,32,33,19,31,26
5월 14일,34,30,31,11,25,32,25,21,28,14
5월 15일,35,9,10,10,10,32,11,28,13,40
5월 16일,8,42,40,40,26,12,31,27,32,8
5월 17일,23,43,24,27,11,41,37,18,14,35
5월 18일,19,11,27,40,28,12,22,41,19,32
5월 19일,40,44,44,40,6,43,22,6,16,22
5월 20일,24,26,27,5,16,14,41,30,9,14
5월 21일,45,6,10,38,18,29,31,34,26,15
5월 22일,28,24,25,41,43,10,8,14,15,44
5월 23일,8,10,22,33,32,36,43,33,31,22
5월 24일,18,37,12,27,32,12,23,42,36,38
5월 25일,24,7,19,30,43,8,5,18,24,18
5월 26일,13,21,23,25,12,5,36,32,16,13
5월 27일,29,39,19,37,40,27,9,30,7,32
5월 28일,6,34,9,25,41,32,41,30,45,31
5월 29일,23,12,30,6,25,15,44,34,28,10
5월 30일,32,11,20,32,42,30,38,10,30,24
5월 31일,26,19,26,15,9,37,45,12,38,37
6월 1일,17,27,27,14,20,11,14,21,17,16
6월 2일,43,14,9,16,45,36,34,41,42,33
6월 3일,41,45,44,25,45,25,14,33,9,35
6월 4일,33,45,24,22,42,8,27,37,9,24
6월 5일,34,33,7,8,28,23,9,10,44,43
6월 6일,37,29,34,42,40,7,33,41,17,25
6월 7일,43,35,37,14,8,33,11,26,10,37
6월 8일,16,7,20,33,33,38,38,44,15,28
6월 9일,28,23,29,31,26,43,8,45,26,9
6월 10일,26,11,40,29,23,21,43,14,26,10
6월 11일,42,14,27,24,30,13,43,10,24,40
6월 12일,29,26,13,38,10,32,37,28,6,28
6월 13일,24,16,18,26,36,17,19,13,14,9
6월 14일,23,11,37,39,38,7,26,44,13,43
6월 15일,29,14,15,16,44,15,33,7,31,28
6월 16일,20,33,44,23,33,19,39,20,24,35
6월 17일,17,28,41,33,34,23,29,37,38,31
6월 18일,15,17,43,13,21,8,35,28,40,11
6월 19일,38,12,23,10,15,22,33,37,14,32
6월 20일,10,19,33,27,6,31,8,30,37,28
6월 21일,20,29,10,28,19,6,25,11,26,14
6월 22일,13,7,23,35,13,35,33,44,5,10
6월 23일,6,21,18,14,40,43,38,32,12,23
6월 24일,20,24,12,8,20,31,45,44,34,9
6월 25일,12,36,43,39,6,45,37,41,20,14
6월 26일,23,32,5,44,27,20,41,31,16,10
6월 27일,38,28,9,38,39,37,37,40,6,29
6월 28일,35,7,45,29,28,21,6,27,9,27
6월 29일,20,45,11,42,26,13,7,27,39,26
6월 30일,16,34,35,45,16,13,9,34,7,23
6월 31일,17,7,17,7,25,24,37,30,39,35
7월 1일,21,7,17,23,27,8,26,22,12,28
7월 2일,32,30,33,29,26,16,36,36,28,38
7월 3일,22,10,32,10,32,43,16,39,23,25
7월 4일,11,10,25,23,24,33,43,32,15,33
7월 5일,27,33,7,27,44,32,22,45,8,9
7월 6일,45,30,28,37,15,6,14,43,33,7
7월 7일,13,9,20,28,28,29,41,7,43,14
7월 8일,33,28,28,33,9,41,13,38,28,30
7월 9일,25,22,20,12,6,16,36,38,29,40
7월 10일,12,21,21,33,18,44,23,36,17,12
7월 11일,13,9,33,16,33,10,25,27,9,40
7월 12일,39,23,24,15,45,16,28,37,19,12
7월 13일,17,13,20,36,6,28,40,41,28,34
7월 14일,40,13,44,10,9,24,30,35,38,31
7월 15일,31,41,9,13,25,9,33,34,38,27
7월 16일,13,40,45,42,16,13,32,37,8,12
7월 17일,38,14,24,15,15,25,19,27,38,23
7월 18일,10,21,17,45,40,22,13,45,24,44
7월 19일,39,10,37,15,42,42,14,15,44,43
7월 20일,26,41,7,6,10,7,41,21,18,41
7월 21일,31,44,45,6,36,45,39,23,24,35
7월 22일,20,30,24,34,9,8,15,33,31,35
7월 23일,34,18,26,43,14,25,25,27,30,13
7월 24일,28,37,40,11,25,20,34,12,22,33
7월 25일,20,14,11,8,23,29,44,31,20,15
7월 26일,25,41,25,17,15,36,37,34,36,24
7월 27일,36,6,10,30,37,34,20,18,42,27
7월 28일,8,8,23,36,43,35,23,39,5,11
7월 29일,32,13,21,28,30,28,7,30,8,41
7월 30일,40,17,28,40,23,9,29,37,33,40
7월 31일,22,44,44,12,13,11,30,28,26,40
8월 1일,28,14,17,43,37,30,37,7,7,7
8월 2일,13,26,35,38,34,14,43,37,13,25
8월 3일,44,25,15,30,44,24,42,26,37,37
8월 4일,39,36,41,24,35,6,28,26,12,31
8월 5일,42,24,45,6,43,35,21,42,41,19
8월 6일,8,42,35,15,38,45,44,29,14,20
8월 7일,7,41,12,17,6,33,25,31,14,31
8월 8일,18,31,37,44,35,8,13,38,18,40
8월 9일,25,35,38,29,25,16,34,39,26,39
8월 10일,27,21,44,35,17,20,22,40,24,19
8월 11일,24,23,18,36,25,35,27,40,22,23
8월 12일,12,41,39,29,30,27,14,23,7,23
8월 13일,10,27,33,21,35,18,17,39,22,40
8월 14일,22,13,11,44,42,20,20,8,38,19
8월 15일,45,19,8,11,31,26,35,11,13,5
8월 16일,40,15,31,35,35,17,23,25,23,8
8월 17일,10,41,19,39,7,16,31,16,7,30
8월 18일,36,16,23,7,5,24,41,43,11,26
8월 19일,23,34,39,38,36,13,37,34,22,17
8월 20일,12,26,15,34,21,16,5,26,23,41
8월 21일,17,16,44,45,30,32,37,25,10,30
8월 22일,11,16,13,35,25,20,5,21,29,20
8월 23일,33,22,26,24,42,41,5,21,28,20
8월 24일,8,12,34,24,15,30,37,24,12,45
8월 25일,23,28,44,19,19,13,35,14,34,43
8월 26일,28,31,40,35,39,18,20,43,10,38
8월 27일,33,38,28,9,41,12,8,40,37,17
8월 28일,41,39,14,15,25,38,33,12,18,42
8월 29일,36,10,37,33,8,34,13,37,31,34
8월 30일,41,8,40,34,24,6,30,21,5,18
8월 31일,42,9,7,32,27,9,39,8,9,35
9월 1일,7,23,31,16,13,31,28,29,33,29
9월 2일,29,10,39,13,27,12,16,39,30,38
9월 3일,13,19,5,6,24,34,39,32,39,29
9월 4일,19,20,34,27,14,22,17,12,7,31
9월 5일,44,6,20,18,9,11,43,7,33,43
9월 6일,8,20,7,30,33,19,39,18,8,13
9월 7일,37,23,19,41,25,41,43,25,20,24
9월 8일,14,38,19,31,24,22,8,40,42,16
9월 9일,45,32,40,36,8,27,29,38,25,31
9월 10일,31,14,24,29,16,39,35,20,19,24
9월 11일,14,34,8,40,31,31,40,38,13,29
9월 12일,20,21,18,26,10,33,28,10,39,17
9월 13일,8,22,29,43,43,7,9,17,42,40
9월 14일,18,35,18,26,24,5,18,17,12,35
9월 15일,20,43,18,30,20,40,25,23,29,34
9월 16일,39,27,24,21,28,37,36,34,11,35
9월 17일,25,18,28,25,31,7,41,19,14,6
9월 18일,21,40,42,42,31,23,14,17,26,19
9월 19일,29,41,20,36,40,26,21,36,36,34
9월 20일,15,27,15,13,39,36,16,39,8,38
9월 21일,7,9,8,5,31,13,45,19,9,14
9월 22일,5,18,37,34,28,8,44,45,44,35
9월 23일,36,6,5,39,40,31,5,6,38,22
9월 24일,39,23,6,37,32,16,11,11,38,14
9월 25일,20,17,44,38,21,27,22,30,10,28
9월 26일,30,34,41,20,19,24,10,7,10,30
9월 27일,29,29,40,35,8,45,5,15,10,36
9월 28일,32,26,41,11,38,7,19,18,41,35
9월 29일,22,7,9,22,39,41,7,16,25,6
9월 30일,18,42,14,30,9,24,15,41,20,41
9월 31일,29,39,26,29,13,10,37,27,8,11
10월 1일,32,19,9,26,43,44,43,30,25,6
10월 2일,45,22,33,36,19,27,40,29,32,16
10월 3일,42,29,10,44,23,20,9,10,22,14
10월 4일,29,45,14,29,25,28,11,10,5,24
10월 5일,33,28,22,11,13,10,16,32,33,40
10월 6일,40,37,31,11,6,10,27,40,10,43
10월 7일,43,25,29,5,23,31,29,10,40,20
10월 8일,41,38,15,29,15,13,22,24,22,36
10월 9일,14,9,15,32,22,31,24,35,9,28
10월 10일,21,20,45,36,43,44,17,34,11,13
10월 11일,24,5,30,26,44,29,26,33,26,32
10월 12일,43,13,24,25,43,17,35,25,16,30
10월 13일,25,23,45,36,41,20,25,29,22,30
10월 14일,28,12,41,17,42,39,16,40,6,34
10월 15일,18,33,23,9,31,36,13,45,24,20
10월 16일,21,14,32,29,9,33,43,35,42,30
10월 17일,39,37,31,39,7,28,39,43,45,10
10월 18일,11,20,27,15,44,7,41,30,26,32
10월 19일,11,5,11,21,19,37,38,40,42,41
10월 20일,19,33,28,30,34,42,37,14,27,6
10월 21일,35,11,23,31,10,12,14,27,24,26
10월 22일,34,18,38,35,27,35,11,33,33,25
10월 23일,9,24,7,12,6,26,11,15,20,38
10월 24일,16,40,15,26,40,32,34,19,30,45
10월 25일,16,16,45,32,30,6,44,17,33,42
10월 26일,32,29,5,18,18,22,9,41,11,39
10월 27일,16,28,25,17,34,12,21,36,38,45
10월 28일,25,43,29,44,30,42,12,27,27,34
10월 29일,44,16,24,44,42,10,13,25,12,20
10월 30일,24,12,16,28,14,37,29,31,43,13
10월 31일,41,29,32,16,36,45,39,16,40,15
11월 1일,36,23,13,16,25,33,44,8,27,5
11월 2일,36,13,17,29,40,37,36,31,36,31
11월 3일,33,36,15,10,41,6,19,23,7,22
11월 4일,19,39,23,15,34,41,36,40,37,12
11월 5일,41,12,22,39,28,39,7,33,39,18
11월 6일,32,11,20,24,7,33,21,27,10,33
11월 7일,12,20,18,42,27,44,45,32,15,44
11월 8일,13,18,18,8,41,27,39,22,43,39
11월 9일,15,25,23,23,41,22,37,11,13,31
11월 10일,8,22,13,13,20,14,25,20,30,36
11월 11일,14,41,45,22,45,31,29,33,9,45
11월 12일,10,30,37,22,28,34,36,25,42,5
11월 13일,10,34,45,27,9,39,30,18,32,18
11월 14일,36,22,25,23,26,40,41,13,41,36
11월 15일,26,8,7,11,45,34,6,12,15,33
11월 16일,34,5,32,17,13,24,15,22,10,28
11월 17일,21,10,28,15,8,30,45,24,19,32
11월 18일,10,11,5,18,35,9,13,42,19,38
11월 19일,33,5,5,26,12,32,13,35,9,19
11월 20일,29,10,11,11,25,28,24,13,29,13
11월 21일,14,9,38,41,5,44,15,33,27,18
11월 22일,45,14,31,44,33,18,10,11,13,12
11월 23일,42,29,27,32,25,13,20,22,10,20
11월 24일,40,43,43,43,23,6,24,18,38,43
11월 25일,37,17,30,23,8,20,36,29,12,20
11월 26일,36,45,43,9,38,5,28,25,13,29
11월 27일,41,31,28,39,16,35,9,6,42,9
11월 28일,5,21,18,7,8,30,37,23,45,37
11월 29일,31,32,30,10,45,39,39,44,14,22
11월 30일,10,24,10,37,18,14,39,25,30,42
11월 31일,45,9,24,32,20,8,20,10,32,12
12월 1일,34,44,43,8,24,16,12,5,13,5
12월 2일,15,36,27,38,38,21,15,28,13,22
12월 3일,12,6,26,32,22,38,9,21,41,45
12월 4일,9,36,34,37,28,8,36,41,15,28
12월 5일,15,21,11,41,12,19,37,5,7,5
12월 6일,20,7,35,28,29,14,16,7,40,31
12월 7일,19,25,20,31,25,22,9,41,28,12
12월 8일,37,8,16,19,38,7,30,9,34,23
12월 9일,24,25,10,40,34,5,28,17,23,41
12월 10일,24,44,20,34,28,42,36,17,39,20
12월 11일,14,5,31,6,19,39,27,45,5,26
12월 12일,5,29,24,11,18,38,20,31,36,8
12월 13일,14,22,10,7,19,38,31,28,34,10
12월 14일,42,11,37,13,45,30,9,42,41,8
12월 15일,32,13,20,23,21,25,30,25,25,33
12월 16일,22,19,9,17,13,42,11,14,11,15
12월 17일,33,34,25,31,12,39,27,18,33,24
12월 18일,34,21,12,10,15,24,43,7,18,25
12월 19일,14,10,20,27,30,37,8,24,21,16
12월 20일,6,30,33,40,40,20,11,34,11,13
12월 21일,12,5,8,19,13,17,30,28,45,10
12월 22일,42,42,21,9,6,9,17,33,13,10
12월 23일,26,12,7,34,8,15,41,32,30,36
12월 24일,6,29,32,16,27,18,16,22,22,33
12월 25일,14,7,44,44,44,20,23,36,31,40
12월 26일,35,8,10,22,29,13,31,17,38,20
12월 27일,45,39,6,29,27,35,39,36,27,41
12월 28일,37,25,29,22,16,6,25,43,19,6
12월 29일,22,8,35,38,27,42,19,15,11,20
12월 30일,20,22,39,8,19,41,29,27,16,16
12월 31일,20,42,25,27,42,6,27,41,41,14
